如何清空实时目的地	如何取消实时目的地设置
我有一个1月12日的专车订单，乘客还没有支付，请协调。	乘客未支付
早高峰连奖是以接单时间还是结束时间算以及冲单奖发放时间是什么时候?	奖励时间怎么计算
遇限号怎么办	车辆限号能否服务
快到客户约定地点，客户取消订单怎么办	如何申请补偿
等乘客半小时了手机还是联系不上	乘客失联
19号21号22号抢单奖励怎么没发？	未收到奖励
请问派车给我为什么会被抢	派单被抢原因
为什么我的车型不能升级呢	专车升级失败
湖州运管说今天要抓，如何办?	滴滴是不是合法
一天要跑几单，才是完成任务呢？	奖励活动有哪些
因网洛故障，致计费错误可以更证吗？	计费错误
乘客没有对我的服务作评你怎么办	星级如何评定
客人不来	乘客失联
我没出车也会降吗	星级如何评定
订单少。有订单也是被抢走。网络没有问题。怎么办？	派单被抢原因
我投诉的诸多问题怎么还没有处理？我推荐的两个司机怎么没有给我奖金？	未收到推荐奖励
快车也是指派的吗	指派模式是什么
抢到后对方就立刻取消	乘客取消订单是否算取消率
你们只培两笔吗？	未支付订单为什么只补偿前两笔的50%
昨天一天上线11.5个小时为什么一单都接不到	系统未播报订单
怎么软件一时有语音一时没有	软件无声音
我没有看到这个活动，为什么别人都说有	奖励活动里面收不到信息
我有两单未付款，麻烦帮我追。	乘客未支付
为什么我收款17.5 会是12.95	你们的车费是怎么扣的
比亚迪唐裸车价27万多，辏距也能达到要求，为什么不能跑专车？	加入专车需要的条件
今天的连击奖拼车单只算一单吗？我今天接到一单拼车，两单乘客，和一单正常单，连击奖没有呀	未收到奖励
22单未接到奖励	未收到奖励
早上9点0分接的单算高峰吗	奖励时间怎么计算
这平台怎回事？这个王牌司机奖还给不给了？一月四号至十号的奖励。	未收到奖励
14号到17号每天接12单	奖励活动有哪些
接单成功，无法确认顾客位置，改派封了账号	改派冻结了能提前解禁吗
为什么好长时间都在连接中	操作过程中提示网络异常
我在今天限号晚上8:00接了两单，不影响明天的订单奖励吧	什么情况会影响奖励
我不小心操作了改派模式	改派冻结了能提前解禁吗
个人头像可以换成真人吗	如何更改头像
总抢别人不赢	抢单提示被抢
请问我换新车的话需要怎么更改车型	如何更改车辆信息
为什么没有宝骏560的车选择？	注册滴滴快车上找不到我的车型怎么办
为什么派的单子和我的地区相差很远？	指派订单距离乘客较远
东莞车可以跑广州市区吗	可以异地注册滴滴打车吗
你们是什么客服电话，打了几十次都没谁接，总是等	客服热线打不通
我感觉每单收入都很少	你们的车费是怎么扣的
假如说我在23：55接的单，到0：15分结束的，那么这单算哪天的。	奖励时间怎么计算
乘客付了19.1我才收到13.4	你们的车费是怎么扣的
我好平率怎么下降了	星级如何评定
今日6点一单，6点40一单，7点40一单，8点40一单，9点20一单，都没有翻倍奖励，是什么原因	未收到奖励
抢单不积极有影响吗	一天不接单有影响吗
我的奖励未到账。2月4号到17号的新人奖那个活动	未收到奖励
我怎么改不了家的地址	如何更改资料
本人本地卡什么意思	本人本地银行卡什么意思
我手机一直不响是怎么回事？	系统未播报订单
我对车费有意意	你们的车费是怎么扣的
我的滴滴怎么没有自动接单	系统自动接单
邮政卞不行吗	提现支持的银行卡类型
在哪里进入抢单模式？	指派订单模式如何设置
平时的出租车打表大约在25元左右，滴滴打车司机开远路，车费31.90元！这难以接受！	司机绕路怎么办
我想更改下联系电话怎么弄	如何更改电话号码
东莞地区现在怎么计价	滴滴打车如何计费
客户没结钱怎么整	乘客未支付
我星期二提了现，为什么还没到账？	提现到账时间
今天早上5:30分的订单我改派是因为客户不接电话	乘客失联
郑州车牌能否在厦门开快车	可以异地注册滴滴打车吗
我昨日完成6单，成交68/l00怎么没笑励？	未收到奖励
乘客不确认支付怎么处理	乘客未支付
高速费如何收费，例如收单边或双边来回	高速费如何处理
23日23点40分的订单客户误解我多收了钱，给了我差评，该怎么办？影响了我今天的奖金	司乘双方对费用有疑问怎么办
我怎么少笔抢单奖	收到奖励金额不正确
为什么我走了八公里，计费只给我五公里	计费错误
已经尝试了，派单也没有提示音，导致派单流失	软件无声音
怎么查司机开车的路线 怀疑司机绕路	司机绕路怎么办
我在微信的公众号里叫的快车，行程已结束，怎么付款	如何支付订单
乘客下车后两天了，还没支付，公司会负责吗	乘客未支付
我昨天提现的怎么会退回要求都达到的	提现成功之后退回
请问快车每天接单超过多少有奖励？	奖励活动有哪些
提现被滴滴暗扣了	查询扣费明细
我想问一下，第一次使用专车劵，比如我的劵最高抵扣20元，怎么计算我大概要补多少钱	优惠券如何使用
我年前有推介的司机，我的奖励现在还没有到，什么原因	未收到推荐奖励
有一单当时那人电话关机了。希望能够取消订单	乘客失联
请帮忙查询一下我的电话号码变更过来没有	如何查询个人信息
请问一下，滴滴快车运管查车会不会处罚？	滴滴是不是合法
您好，1月11号晚高峰抢单奖都发放了，1月10号平峰抢单奖怎么还没发放，怎么回事了?	未收到奖励
夜间11点以后接单跟平时有什么区别	夜间接单有补助吗
为什么最近接单都在1到2公里以外派单给我？这个叫我怎么跑？	指派订单距离乘客较远
我的东西丢到车上了	乘客遗失物品如何处理
订单乱派	指派订单距离乘客较远
优惠卷首用最打折最高的还是最低的	优惠券如何使用
我等了一个多小时都无有指派的？	系统未播报订单
快车被查找谁	滴滴是不是合法
电话难打进去	客服热线打不通
请问车辆被车管所处罚的话，会有报销吗，	滴滴是不是合法
按导航走怎么会超里程呢？	导航显示公里数不准
到底有没有人处理	滴滴的客服电话
怎么变更车辆和车牌信息？	如何更改车辆信息
我们这里从今天起滴滴认定为黑车，依法打击黑车，所以我想问滴滴帐号怎么注销？？	我要注销滴滴快车账号
廊坊地区支持指派模式吗	指派订单模式如何设置
少收到一笔8元的奖励	未收到奖励
全天冲单奖	未收到奖励
什么情况下会终身封号	作弊封禁的情况有哪些
在线变更城市	城市如何更改
最近怎么严。怎么保证我们	滴滴是不是合法
我的手机是双卡手机，电信号是18981404398 ? ?麻烦给我修改为移动号15928375008 ?可以吗？	如何更改电话号码
空驾驶怎么办	如何申请补偿
我问一下我用150的号码注册的 ? 可是现在我想用182的手机号上150号码的怎么账号可以吗？	如何更改电话号码
我在灵石能接到订单么？	司机如何接单
本想给师傅5星评价的，结果误给1星，不能改了，觉得挺对不起师傅的，能改吗	乘客评错星级，星级能否修改
我昨天13单的奖励发放完了吗？	收到奖励金额不正确
我为什么有俩单2星评价	星级如何评定
临时加价超出车费3倍是什么鬼	什么是动态调价
我1没法在线支付	如何支付订单
实时单不响	只能听到预约订单听不到实时订单
接单后路途中有收费站过路费谁出？	去机场的订单，过路费怎么算
每次可领几瓶	领水最多可以领几箱
`客人要坐上5个人超载了我应该怎么办	超载怎么处理
一般提现好久到长	提现到账时间
我不小心改派了预约	改派有什么处罚
一对还是被别人抢走	派单被抢原因
抢单的订单分成是多少	你们的车费是怎么扣的
有人说再查车	滴滴是不是合法
怎样才能达到5颗星级	星级如何评定
我刚刚两单都不能计费	无法计费如何处理
两次接单对方都取消怎么办啊?	乘客取消订单是否算取消率
三线城市经常空驾驶，单少吖，昨天有活动还能跑，没活动好难啊	奖励活动有哪些
客人加随行人员共有5人，超员怎么办	超载怎么处理
在方区一个小时，一个单没有	系统未播报订单
请问我的账户已经符合闲时13单奖励，为什么没有奖金。	未收到奖励
我昨天跑了几单怎么钱少了？	你们的车费是怎么扣的
我咨询一下，日产逍客属于专车吗	加入专车需要的条件
如果我是在杭州注册的要改到绍兴怎么改响	城市如何更改
今天打车，支付时有个其他费用，请问是什么	什么是其他费用
怎么申请夜间费	夜间接单有补助吗
我叫快车，为什么应付17.2元，实付17.2元，没有任何优惠？	优惠活动查询
接到的单子跑高速过路费怎么算	高速费如何处理
顾客坐别的车走了，我点了下改派，就冻结我账户，	改派有什么处罚
现在车费最低多少？	最低消费是多少
谁给我评分少能看吗	为什么我看不到服务评分
怎么打完车无法分享微信呢？不能享用优惠	怎样分享优惠券
请问快车新司机2月17日前58元奖励何日到位。	未收到奖励
您好！听说最近苏州部分地区有运管在查封滴滴快车，请问是真的吗？	滴滴是不是合法
18:23从天一广场到华泰星城乘客支付了55.8我才收到车费23.71	你们的车费是怎么扣的
我的帐号两个星期没接到单了，请问咋回事？	系统未播报订单
我昨天上午9点到下午16点跑了10单以上应该有30奖励这么还没有到的	未收到奖励
我星期五下午四点左右领取的大礼包在哪里？有一单要支付，想使用五折券	优惠券如何使用
账单明细如何查询？奖励明细哪里显示？	奖励活动有哪些
昨天我跑了17单奖励115怎么还没到账	未收到奖励
如果被抓滴滴会有什么方法处理	滴滴是不是合法
星期二提现还没有打钱过来呢	提现到账时间
今晚的快车司机接单后来的时间太长了。	司机迟到
客人都一月个了还没付款，客服电话也打个	乘客未支付
滴滴专车被抓罚3万请问怎么对待这个问题？	滴滴是不是合法
导航导不了是怎么回事 点击计费卡住怎么‘回事	无法结束计费怎么处理
春节期间司机接单成功后要求加价，且是高于路程价格的2倍	司机乱收费怎么办
我大哥的车，不见手机了，怎样一重新办个号	如何更改车辆信息
这样的话挣不了钱	如何增加司机收入
每天的起始时间是什么时候	奖励时间怎么计算
我处在订单密集区为啥不排单	系统未播报订单
怎么设置附近的预约	如何设置行驶中听预约订单
乘客没付钱，要多长时间处理	乘客未支付
请问线下验车已经验过了，平台要多久才会通过	快车审核时间
我昨天我平峰期接单的奖励一笔都没有到	未收到奖励
2月5号3.53分有一个单还没付钱	乘客未支付
有责取消订单是什么意思	订单有取消费用吗
有两笔订单好几天了，催款很多次了，还是没有支付	乘客未支付
注册地在杭州市，现在在浙江嘉兴桐乡市可以接单吗？能享受各类奖励吗？	异地车牌是否有奖励活动
我须要更改电话号码	如何更改电话号码
为何抢单老慢半拍？	抢单提示被抢
我昨天高峰期跑了6单怎么才60的奖励？	收到奖励金额不正确
为什么我车在养育巷却把我指派到东环路接客人，这路程5.7公里，我觉得不合理	指派订单距离乘客较远
刚刚接了个单现在乘客不走怎么取消	如何取消订单
您好，我的账号是用我父亲的车申请的，现在我父亲要做快滴司机，不能申请，能把我的帐号注销么？	我要注销滴滴快车账号
昨天上午6点半提现到现在未到账，己过24小时，怎么回事？	提现到账时间
钱包的钱对了乘客也支付了.可还是显示为支付	已结束订单未收到支付消息
不能实实呢？	只能听到预约订单听不到实时订单
8.58算九点吗	奖励时间怎么计算
没有不接单 为什么指派成功率会降低	派单模式与成交率有关系吗
同时叫几辆车	乘客同时叫两张订单如何处理
长时间不付车费，发信息提醒了，也打电话了，就是不支付的客人。我该怎么办？	乘客未支付
我的怎么确定不了我的位置	不显示定位信息
请问下余额不可以全部提完吗	流水和余额的区别
今天限行，城外单本来就少，他那样严重影响了我	车辆限号能否服务
拒接是什么意思	指派模式拒单是否有影响
我之前打电话反映了2个奖励漏发，啥时候补给我	未收到奖励
1.22我没有收到早高峰奖励和夜高峰奖励	未收到奖励
怎么解除改派	改派冻结了能提前解禁吗
为什么130的单子，我只收到89块钱？	你们的车费是怎么扣的
可是指定订单要接得吗？	指派模式拒单是否有影响
提款已超岀二十四小时未到帐	提现到账时间
乘客下车末付款，怎么办	乘客未支付
我上个月有一单乘客没支付，平台也没有给我补助啊？	乘客未支付
我今天早高峰做了四单，奖励只有拿到一单，是有延迟吗？	未收到奖励
为什么我昨天有个司机接了我的单，后来我没坐他的车，过后显示要支付他139.5	乘客未上车产生费用
为什么我的提现款还没有到帐呢？	提现到账时间
比如13.10元平台怎么扣錢，是乘以20%减0.5元。1.77%怎么算	你们的车费是怎么扣的
请问一下我的退款已经三天了还没到帐是什么原因	提现到账时间
我申请修改资料，咋还没给改啊	如何更改资料
滴滴出租版要从新下个软件吗	滴滴快车软件和出租车软件有什么区别
新车主，有补贴吗	奖励活动有哪些
快车司机车转让后怎么修改个人信息	如何更改资料
钱汇错帐号会退回来吗	提现成功之后退回
为什么我的成交率还有63%的所有订单我都接	成交率显示不正确
上月底有笔成交订单，实际里程数与出车记录数不符合，怎么没有处理？	导航显示公里数不准
益阳的滴滴可以转到长沙去吗，湘a的牌	城市如何更改
为什么我没有快车拼车选项	如何做快车拼车
今天限号 ，派单到3环内去了，到3环上才想起，以后派单平台是否可以避免此类事情？	车辆限号能否服务
怎么有外地牌照车接单呢	可以异地注册滴滴打车吗
指派率80有奖励，比如我前天指派率80%,昨天没跑，那今天跑有奖励吗？	什么情况会影响奖励
请问23点单第二天6点是啥政策？	奖励活动有哪些
我为什么没有看到有人给我5星之外的评分我就从5星掉到4.9星了？	如何提升星级
评分是最近100单吗	服务评分是如何评定的
我的计费和对方的费用不一样错的太多我一给客务说了	司乘双方对费用有疑问怎么办
我2015,12:24号16,52分的单子没给我付款了	乘客未支付
接驾前半小时没有定单吗	系统未播报订单
乘客说没有收到行程单无法结账	已结束订单未收到支付消息
有人抢单	派单被抢原因
请问？我2月4日下在5.57接到的拼车单，拼车成功，为啥子没有高峰奖励，而且也是一倍结算的。我昨天应该是8单高峰成功	拼车单怎样计算奖励单数
服务评价为啥不更新呢？	星级如何评定
您好我想咨询一下我能填写两个手机号吗，	如何更改电话号码
两天才到账？	提现到账时间
我在城里等了一小时了。。。。。	系统未播报订单
这周不提下周可提吗	可以提什么时候的钱
我是广州的车牌，在广州注册的，现在河南许昌，可以换手机号码以及在许昌营运吗	如何更改电话号码
自动听单为何被抢	派单被抢原因
亲：新年快乐！打快车怎么用卡包	优惠券如何使用
7元？低销？	滴滴打车如何计费
今天打车还多带了一人，并且还绕路了	司机绕路怎么办
刚才的师傅应该是5星我少点了一个	乘客评错星级，星级能否修改
刚才抢到一个订单怎么查询电话	如何查询订单状态
乘客未支付系统多久支付给我	未收到奖励
我早上转账到现在还未到账。	提现到账时间
我的账号是佛山的吗？	如何查询个人信息
请问已经转到东莞了吗	城市如何更改
我的订单已经取消了，为什么我还要支付取消订单的钱啊	乘客未上车产生费用
请问送接机时，机场高速通行费是收单程还是可以收双程？谢谢	去机场的订单，过路费怎么算
今天接了一个下午17.40的订单，时间到了联系不上客人，然后我取消了定单，怎么把我的账户封了	如何取消订单
我把乘客接到，但手机不能确认，把乘客送到目的地也不能结帐，怎么办？	无法计费如何处理
我现在车换过了想把我的车辆登记信息改一下要怎么办	如何更改车辆信息
本人所在地深圳市！原注册地惠州市！现在修注册地深圳市！其它不变！	城市如何更改
一月十号晚高峰我接了四单，发了奖励怎么又扣回去了呢	奖励扣除的原因
有一乘客到现在未结单，(电话18688224785)	乘客未支付
我今天的流水有633元，减去未付246元，到帐的钱怎么才299元？	流水和余额的区别
我联系不上客户！选择改单后封号了！	改派有什么处罚
接不到到	系统未播报订单
软件没有拼车按钮吗	如何做快车拼车
我今天刚刚改派定单了被封禁一天是应为客人手机关机了	改派冻结了能提前解禁吗
今天拉够22单有没有奖励啊！	奖励活动有哪些
我是说为什么没有订单播报声音？我多查了手机设置音量什么多没问题，一会有播报声音一会没有	软件无声音
您好我这个月十五号拉了一单快车单上面写着是1.7倍怎么到现在也没有	未收到奖励
请问我在襄阳加入滴滴，在上海可以出车吗	可以异地注册滴滴打车吗
乘客走的急没有及时付费怎么办？	乘客未支付
接单后发现五六人咋办	超载怎么处理
人家都能抢我的这是为什么呢？	派单被抢原因
我的手机怎么收不到滴滴每天发出的通知消息	我想恢复滴滴短信通知
有查的咋办？	滴滴是不是合法
我要取消尾号2550订单，是电脑系统异常出错	如何取消订单
我取消了用车，却收到8元的用车费	乘客未上车产生费用
什么时候用抢单模式	指派订单和抢单模式的区别
我的乘客已经超过15天未付款…那公司的补偿什么时候能到账	补偿到账时间
末未支付	乘客未支付
距离的问题	指派订单距离乘客较远
刚才接的那个预约单子去不了了车有点问题	如何取消订单
司机怎样分别同一个乘客一周只准乘座一次？	司机是否可以接同一乘客
可是已经快两个星期了	快车审核时间
绵阳运管在整治滴滴，我们该怎样应对。	滴滴是不是合法
超出两单未支付就得全部费用司机承担吗？	乘客未支付
我有订单已有三天顾客沒支付，已转平台烦请查一下	乘客未支付
秦皇岛现在抓软件叫车呢，吓的都不敢出车了咱们这个合法吗	滴滴是不是合法
问一下我刚开始用滴滴打车 怎么付费通过什么付费？微信可以付费吗？	如何支付订单
我想绑定车辆，我把资料传给你们可以吗	如何更改车辆信息
怎么我的没4天叠加奖的	奖励活动有哪些
每日冲单奖没付款算吗	高峰期订单乘客不支付是否有奖励
我想更改电话号码。用另外一个手机号登录	如何更改电话号码
星期一的奖励未到，昨天的拼车奖励未到，何时到呢	未收到奖励
您好，请问我所在的嘀嘀快车出租公司电话号码多少？	滴滴的客服电话
我成功推荐一名快车司机，他己接10单，为什么冲锋奖还未给我	未收到推荐奖励
激活新帐号七天以内的七天是按日期算还是按照时间计算	新人奖活动周期
下车了支付不了	为什么不能支付
申请专车我的线上已经都通过，线下过去两天了怎么还没有短信通知	快车审核时间
看了没有到帐，滴滴帐上划走了	提现到账时间
请问，我今天出车会得到哪些奖励，我现在服务评价是3.8星	奖励活动有哪些
乘客嫌订单费用高	司乘双方对费用有疑问怎么办
补全了，电话打不通	客服热线打不通
我觉得计费很不合理	滴滴打车如何计费
请问一下 ?我加入了快车以后需要改营运性质么	滴滴是不是合法
有客户欠款怎么办？	乘客未支付
为什么支付宝的劵不用用	支付不提示使用券
我想更换手机号码，如何修改在这里手机信息？多谢！	如何更改电话号码
我是快车司机新用户 请问如何添加银行卡	如何补齐资料
为什么夜间起步也是八块	滴滴打车起步价
为什么更新了软件后没有订单呢？一个多小时了	系统未播报订单
我在一个小时完成了超级任务，为什么说我任务衔接失败	未收到奖励
春节临近下雨下雪天怎么倍数很低	奖励活动有哪些
这个礼拜的车费怎么还没到帐？已超过24小时了	提现到账时间
现在东莞广州都在查快车谁还敢做快车？	滴滴是不是合法
我今天早上7点左右接了一个单子。当我到了指定地点，乘客把订单取消了	如何申请补偿
我应享有铜牌的85%的分成，这两周怎么没按这个分成入帐？	你们的车费是怎么扣的
我订单错误，为什么还不给我回电话	客服何时回电
我想了解推荐20-21号新司机要怎么样才复合奖励条例	奖励活动有哪些
1月22日平峰抢单奖还没到？	未收到奖励
行李掉了	乘客遗失物品如何处理
我是河北廊坊固安的，车也是廊坊牌，这边接单有奖励么	奖励活动有哪些
预估费用跟实支付费差距	什么是预估费用
这几天运政钓鱼执法严重	滴滴是不是合法
我身边的朋友都是福州本地的公司	我想更换租赁公司
今下午连读接几个恶意定单，怎么处理？	如何取消订单
你们公司能不能把我早8.33至8.35的手机号预设这是刷单嫌疑的号码吗，害我二次打通他电话，还要影响我的成交力	作弊举报
我是宁波牌照，车在上海，可以吗	可以异地注册滴滴打车吗
按3号健无法取消	如何取消订单
星际降了，怎样才能升起来	如何提升星级
你这订单出来没有一秒钟，就抢了，我服了	抢单提示被抢
我每天都记账，为什么到提现日我的钱老是少	你们的车费是怎么扣的
广州市交委在查车，说非法营运要罚款3万，嘀嘀公司是否有对策？我们能放心跑车吗？	滴滴是不是合法
为什么有单没声音？过了通知我已经拒绝？	软件无声音
我咋天跑的车，咋没奖励呢，只看见收到车费。	未收到奖励
起步价9元对于市区没什么区别.，可对一个县城来说差别就大多了.本身单少没有奖励	如何增加司机收入
乘客未付的款多久到啊	乘客未支付
升专车都拉到70多单了为什么还没分配公司	什么时候给我分配租赁公司
今早的奖励有问题	收到奖励金额不正确
请问，如果我这单收到了客户十元，那我能得到多少？	你们的车费是怎么扣的
扫码签到怎么弄？难道我每天还要去一趟网点扫码后才行？	怎么签到
我1月19号2O号奖励为什么还没发过来？！	未收到奖励
一个驾驶证可以注册两台车的帐户吗？	同一个账号可以注册两辆车吗
一个订单可以同时搭载多人吗？	超载怎么处理
把我们年夜按照你们规定的奖励都扣了	奖励扣除的原因
今天接6单，奖励50元，没到帐啊	未收到奖励
能帮我看看刚才一单是如何计费的	如何查询订单状态
私家车使用滴滴快车拉客属于非法营运吗？	滴滴是不是合法
请问专车是如何计费，高速需要另收高速费吗	滴滴打车如何计费
弱弱的问一下，如果远管部门抓住快车司机，该如何解释？	滴滴是不是合法
关键是奖励还没发	未收到奖励
为什么平台每单收取费用高达27～30%？	你们的车费是怎么扣的
低速费、夜间费用如何收取	夜间接单有补助吗
我和另一个订单拼车，为啥下车后没有收到付款要求？司机端无法结束我的订单	已结束订单未收到支付消息
我是2016年1月17号注册的有新人奖吗？	新人奖活动周期
为什么使用快车支付之后，司机还另外收5元？	司机乱收费怎么办
请问现在每天要接几单次日才有奖励	奖励活动有哪些
请问我怎么快两小时了都没订单，况且在商圈，人流大的地方，出什么问题了吗？	系统未播报订单
广州司机如何更换车型	如何更改车辆信息
运管扣车怎么办？听说一罚款就是两三万	滴滴是不是合法
运管人员下载了软件当了乘客上了车执法怎么办？	滴滴是不是合法
是乘客原因造成的无法联系	乘客失联
申请催款什么时候到账	补偿到账时间
我星期二提的现现在还不到账，怎么回事	提现到账时间
请问我的分层比例是什么样的？	你们的车费是怎么扣的
请问四川宜宾2月12日到14日接满18单奖励100元那个活动的奖励怎么还没到帐啊？	未收到奖励
超出多长时间平台会给末及时支付的乘客	乘客支付时间
我的号什么时候解风	账号封禁时间已到未解除的原因
指派模式下订单还被强了，怎么回事？	派单被抢原因
乘客未支付订单怎么还没处理？	乘客未支付
今天开着听不了单为什么	系统未播报订单
为什么我拉十块钱到我账户只有七块	你们的车费是怎么扣的
我昨天高峰跑的6单，怎么只有60元奖励	收到奖励金额不正确
车牌跟软件显示不一致是什么意思	可以开与注册车辆不同的车去接乘客吗
快车计费标准	滴滴打车如何计费
怎样清空实时目的地	如何取消实时目的地设置
空使补偿	如何申请补偿
请求空驶补偿	如何申请补偿
支付	如何支付订单
没有自动接单功能	系统自动接单
封禁一天	账号封一天的时间是多长时间
有没有空驶补偿	如何申请补偿
奖励为什么没到账	未收到奖励
我的怎么没有自动接单	系统自动接单
微信怎么支付	如何支付订单
奖励好久到	未收到奖励
对公	对公司机
取消补偿	如何申请补偿
顺路接单	司机如何接单
实时模式	什么是实时订单
一个人可以注册两辆车吗	同一个账号可以注册两辆车吗
降星	星级如何评定
12月31号通知，承诺给2.4倍翻倍奖励，结果一分钱奖励都没有。	未收到奖励
空驶奖励	如何申请补偿
拼车高速费	高速费如何处理
订单重复	乘客同时叫两张订单如何处理
转账什么时候到账	提现到账时间
奖励活动太少	奖励活动有哪些
慢必陪	快车慢必赔活动
空驶补偿问题	如何申请补偿
我不知道怎么接单	司机如何接单
往返过路费	高速费如何处理
迟迟不付款	乘客未支付
王牌司机	什么是奖牌权益
注册地问题	城市如何更改
处一罚三	作弊封禁的情况有哪些
如何开启抢单模式？	指派订单模式如何设置
明天有奖励吗？	奖励活动有哪些
首单新人礼	新人奖活动周期
指派拒绝	指派模式拒单是否有影响
出车费用怎么算	滴滴打车如何计费
双周四是什么意思？	提现的时间
司机半天不来	司机迟到
空驰费	如何申请补偿
利润低	如何增加司机收入
一倍是什么意思？	什么是动态调价
提现人	本人本地银行卡什么意思
回电	客服何时回电
【滴滴专车】师傅您好，近期您有一笔订单违规操作，多收取乘客的费用，已从您账户中扣除返还乘客，扣款详情请您查看您的账户明细。请您规范操作，感谢您的支持，退订回复TD	查询扣费明细
真人吗？	滴滴的客服电话
收不到单子	系统未播报订单
好评度	好评率有什么影响
看不到收入明细	流水怎么查询
如何查看乘客评分	为什么我看不到服务评分
请问安顺有滴滴打车？	滴滴专车支持的城市
更多功能在哪	客户端操作流程
昨晚因手机故障结束不了账单	无法结束计费怎么处理
昨天的奖励还未到账	未收到奖励
怎么发布拼车信息	如何做快车拼车
空驶补偿费	如何申请补偿
决定注销	我要注销滴滴快车账号
运管所会罚款吗？	滴滴是不是合法
请问滴滴快车在海口市夜间有补贴吗	夜间接单有补助吗
请求空驾补偿	如何申请补偿
怎么切换	客户端操作流程
0.5	每单五毛钱的保险费用是什么
1倍是什么	什么是动态调价
1月7日00：31订单乘客未付费！！！	乘客未支付
时间选错怎么办	APP上如何更改用车时间
怎么提点	怎么提高分账比例
快车怎么接拼车	如何做快车拼车
改派制度	改派有什么处罚
一对一	一对一派单抢单时间
实时订单还能被抢？	指派订单模式能否抢单
天天有奖励吗	奖励活动有哪些
取消滴滴语音播报怎么操作？	滴滴播报如何关闭
订单重播	滴滴播报能否重发
今天奖励未实时到账	未收到奖励
限号地段	车辆限号能否服务
邮政卡不能提现吗？	提现支持的银行卡类型
担心被抓	滴滴是不是合法
今日活动	奖励活动有哪些
听不见预约单	系统未播报订单
名次	怎么查看司机排名
我有几个单都没付款	乘客未支付
今日早高峰奖励没到账	未收到奖励
开滴滴被抓	滴滴是不是合法
我现在接这个单联系不上乘客怎么办	乘客失联
公司收多少	滴滴打车如何计费
钱包和流水	流水和余额的区别
云南省曲靖市变更为云南省昆明市	城市如何更改
自愿补全	如何补齐资料
专车接送	我怎么叫车
已经四个7天啦	补偿到账时间
车牌跟软件显示不一致	可以开与注册车辆不同的车去接乘客吗
我2月4号到2月17的新人奖励什么时候到账	新人奖活动周期
为什么我设置了回家方向的订单系统仍发其他方向订单	指派订单模式如何设置
送乘客到偏远地区。回来没定单要补偿吗	如何申请补偿
排名也看不到	怎么查看司机排名
请问，丰田雷凌混动车和比亚迪秦能进专车嘛	加入专车需要的条件
为什么我现在只能收到指派模式 不能到指定模式去吗	指派订单模式如何设置
我有一个单子没有接。是因为手机总是死机。	指派模式拒单是否有影响
我打完快车后就可以自动连接支付宝付款了吗	乘客怎么绑定支付宝
我想问一下我的好评率是怎么下降的，哪一单有问题的	好评率有什么影响
3月14曰，完成8单，成单率80%，订单奖励只收到35元，为什么？	收到奖励金额不正确
晃晃未到帐	未收到奖励
一到翻倍时段就派单特少，1个小时都派不到一单为什么？	系统未播报订单
7天都到了，奖励没看到	未收到奖励
客人叫车到地方了 取消订单 怎么处理？	如何申请补偿
我完成二十单以上每天，但是星级还下降	如何提升星级
我抢了一个预约单，请问在那里查看订单	如何查询订单状态
我的空驶不要油吗？	如何申请补偿
怎么交易是十块，而交易完我这里变成八块了？	你们的车费是怎么扣的
为什么就付50%呢	未支付订单为什么只补偿前两笔的50%
我上个星期提现现在都没有到账，现在查得怎么样了？	提现到账时间
您好昨天中午我有一单生意是在我到达预约地址后而且也开始记录乘客迟到时间了后来乘客取消了订单我有补偿吗？	如何申请补偿
请问哈宝马与系和其它车型价格一样不	滴滴打车如何计费
打电话打不进去，也不知道怎么处理	客服热线打不通
快车司机怎么变更城市	城市如何更改
成都双流夜间服务费用	夜间接单有补助吗
乘客迟迟不肯付费	乘客未支付
在哪里开启抢单模式	指派订单模式如何设置
我今天抢单56元，公司扣了24.34元，对吗	你们的车费是怎么扣的
定位老是不准，希望能尽快解决这类问题	系统定位错误
等待费是怎么计算的	滴滴打车如何计费
麻烦问下这个是怎么计费的	滴滴打车如何计费
司机收费标准在那可以了解	滴滴打车如何计费
有奖励未到	未收到奖励
刚才我的单子客户改派了，怎么封我户了？	改派有什么处罚
等得心烦没单听	系统未播报订单
刚才抢1单想退	如何取消订单
这一天拉这么多单也挣不到钱	如何增加司机收入
怎解又说是按结束时算	奖励时间怎么计算
我两多小时都没接单	系统未播报订单
几万的车可以入	加入专车需要的条件
为何我的推荐奖励一直没到账？前几天打电话给你们客服说查了我符合条件，会奖励200，可结果呢？你们的电话也太难打进去了。	未收到推荐奖励
把12月30日晚21点40的订单望京西园到942快发给乘客，乘客好付款谢谢	已结束订单未收到支付消息
3月14好我完成了6单指派订单，星级4.9，成交率100，为什么3月15号我没翻倍奖励？	未收到奖励
请问，卡罗拉混动可以加入快车和专车吗？谢谢	加入专车需要的条件
怎么知道订单成功	如何查询订单状态
为什么我推荐的新人按我给的微信链接注册了没奖励	未收到推荐奖励
我的滴滴怎么没有单了？同样两个手机另一个响，我的没呢？	系统未播报订单
我要改電話號碼	如何更改电话号码
升级专车都一个月了为什么一直不安排线下面试？	专车升级时间
催款好几次了，现在连电话都不接了。 那我怎么办？	乘客未支付
拼车单同样的路线价钱怎么不一样	拼车价格不对如何修改
